839.5117146825874, 0.15, 0.0, S, 5, SYN1090, ???, 0.7853981633974483
1058.439437054795, 0.15, 0.0, S, 5, SYN1619, ???, 0.7853981633974483
853.7914944763328, 0.15, 0.0, S, 5, SYN1143, ???, 0.7853981633974483
977.6501271979715, 0.15, 0.0, S, 5, SYN1425, ???, 0.7853981633974483
991.0731366524615, 0.15, 0.0, S, 5, SYN1461, ???, 0.7853981633974483
1070.0153267063174, 0.15, 0.0, S, 5, SYN1657, ???, 0.7853981633974483
977.4246742214436, 0.15, 0.0, S, 5, SYN1428, ???, 0.7853981633974483
805.1560351039428, 0.15, 0.0, S, 5, SYN1025, ???, 0.7853981633974483
869.3975825442117, 0.15, 0.0, S, 5, SYN1157, ???, 0.7853981633974483
851.8181787204574, 0.15, 0.0, S, 5, SYN1111, ???, 0.7853981633974483
937.2308275633135, 0.15, 0.0, S, 5, SYN1311, ???, 0.7853981633974483
969.7041815725719, 0.15, 0.0, S, 5, SYN1402, ???, 0.7853981633974483
1031.3405181167352, 0.15, 0.0, S, 5, SYN1564, ???, 0.7853981633974483
979.6452430232764, 0.15, 0.0, S, 5, SYN1436, ???, 0.7853981633974483
939.7677947078539, 0.15, 0.0, S, 5, SYN1342, ???, 0.7853981633974483
1024.3547224997535, 0.15, 0.0, S, 5, SYN1545, ???, 0.7853981633974483
909.7854399666223, 0.15, 0.0, S, 5, SYN1245, ???, 0.7853981633974483
938.2651432886075, 0.15, 0.0, S, 5, SYN1310, ???, 0.7853981633974483
901.6919270636325, 0.15, 0.0, S, 5, SYN1254, ???, 0.7853981633974483
1032.8654546186563, 0.15, 0.0, S, 5, SYN1566, ???, 0.7853981633974483
934.8826447612902, 0.15, 0.0, S, 5, SYN1314, ???, 0.7853981633974483
1086.350580975711, 0.15, 0.0, S, 5, SYN1683, ???, 0.7853981633974483
1101.799505183486, 0.15, 0.0, S, 5, SYN1736, ???, 0.7853981633974483
994.7008917559164, 0.15, 0.0, S, 5, SYN1472, ???, 0.7853981633974483
858.023254770155, 0.15, 0.0, S, 5, SYN1153, ???, 0.7853981633974483
951.6948029504397, 0.15, 0.0, S, 5, SYN1370, ???, 0.7853981633974483
816.3196459618832, 0.15, 0.0, S, 5, SYN1058, ???, 0.7853981633974483
825.978454365742, 0.15, 0.0, S, 5, SYN1079, ???, 0.7853981633974483
884.0379620274182, 0.15, 0.0, S, 5, SYN1207, ???, 0.7853981633974483
940.4782938136476, 0.15, 0.0, S, 5, SYN1345, ???, 0.7853981633974483
1113.8421150617137, 0.15, 0.0, S, 5, SYN1768, ???, 0.7853981633974483
892.3097520257302, 0.15, 0.0, S, 5, SYN1199, ???, 0.7853981633974483
973.5718739177051, 0.15, 0.0, S, 5, SYN1418, ???, 0.7853981633974483
1086.5906737606115, 0.15, 0.0, S, 5, SYN1700, ???, 0.7853981633974483
1102.8715000473117, 0.15, 0.0, S, 5, SYN1743, ???, 0.7853981633974483
981.7596845479941, 0.15, 0.0, S, 5, SYN1420, ???, 0.7853981633974483
817.4582903784465, 0.15, 0.0, S, 5, SYN1063, ???, 0.7853981633974483
1041.7458164193852, 0.15, 0.0, S, 5, SYN1588, ???, 0.7853981633974483
922.1875238415338, 0.15, 0.0, S, 5, SYN1302, ???, 0.7853981633974483
795.0290356485842, 0.15, 0.0, S, 5, SYN1014, ???, 0.7853981633974483
931.3786353064346, 0.15, 0.0, S, 5, SYN1319, ???, 0.7853981633974483
913.806277729905, 0.15, 0.0, S, 5, SYN1282, ???, 0.7853981633974483
936.1345905598762, 0.15, 0.0, S, 5, SYN1312, ???, 0.7853981633974483
968.8363084422118, 0.15, 0.0, S, 5, SYN1406, ???, 0.7853981633974483
797.7915668123513, 0.15, 0.0, S, 5, SYN1020, ???, 0.7853981633974483
962.4829602295243, 0.15, 0.0, S, 5, SYN1379, ???, 0.7853981633974483
1083.3254538159565, 0.15, 0.0, S, 5, SYN1689, ???, 0.7853981633974483
894.3946905456353, 0.15, 0.0, S, 5, SYN1229, ???, 0.7853981633974483
846.8773395241213, 0.15, 0.0, S, 5, SYN1114, ???, 0.7853981633974483
981.0191074590274, 0.15, 0.0, S, 5, SYN1438, ???, 0.7853981633974483
1095.7222475069952, 0.15, 0.0, S, 5, SYN1705, ???, 0.7853981633974483
904.3148267397034, 0.15, 0.0, S, 5, SYN1260, ???, 0.7853981633974483
930.4722041023201, 0.15, 0.0, S, 5, SYN1320, ???, 0.7853981633974483
1050.1153079211465, 0.15, 0.0, S, 5, SYN1609, ???, 0.7853981633974483
994.4525723753738, 0.15, 0.0, S, 5, SYN1470, ???, 0.7853981633974483
