467.4956013280508, 0.15, 0.0, P, 5, SYN1128, ???
581.3092425735396, 0.15, 0.0, P, 5, SYN1616, ???
551.8182380656697, 0.15, 0.0, P, 5, SYN1483, ???
497.3295200316696, 0.15, 0.0, P, 5, SYN1221, ???
598.3791617662632, 0.15, 0.0, P, 5, SYN1699, ???
535.5757625055268, 0.15, 0.0, P, 5, SYN1409, ???
613.6393738617968, 0.15, 0.0, P, 5, SYN1750, ???
444.3246868582093, 0.15, 0.0, P, 5, SYN1027, ???
591.8668292411128, 0.15, 0.0, P, 5, SYN1673, ???
596.6687870059405, 0.15, 0.0, P, 5, SYN1694, ???
461.84572042787477, 0.15, 0.0, P, 5, SYN1093, ???
531.3559684416384, 0.15, 0.0, P, 5, SYN1394, ???
596.8098027160769, 0.15, 0.0, P, 5, SYN1695, ???
603.8978048269847, 0.15, 0.0, P, 5, SYN1724, ???
598.9444725693579, 0.15, 0.0, P, 5, SYN1701, ???
540.6667383160907, 0.15, 0.0, P, 5, SYN1434, ???
456.6327268768069, 0.15, 0.0, P, 5, SYN1083, ???
472.4108297083977, 0.15, 0.0, P, 5, SYN1138, ???
583.795030281024, 0.15, 0.0, P, 5, SYN1628, ???
561.9671016618482, 0.15, 0.0, P, 5, SYN1508, ???
472.385708086851, 0.15, 0.0, P, 5, SYN1142, ???
468.39043823143425, 0.15, 0.0, P, 5, SYN1130, ???
525.3611826679567, 0.15, 0.0, P, 5, SYN1365, ???
483.267155075396, 0.15, 0.0, P, 5, SYN1189, ???
571.3339427719451, 0.15, 0.0, P, 5, SYN1571, ???
608.6662495453631, 0.15, 0.0, P, 5, SYN1746, ???
442.1549469205674, 0.15, 0.0, P, 5, SYN1022, ???
546.4409875411467, 0.15, 0.0, P, 5, SYN1460, ???
472.28254764890886, 0.15, 0.0, P, 5, SYN1145, ???
523.2630524551804, 0.15, 0.0, P, 5, SYN1331, ???
491.10346113545273, 0.15, 0.0, P, 5, SYN1200, ???
560.9294029111315, 0.15, 0.0, P, 5, SYN1525, ???
607.9941542618864, 0.15, 0.0, P, 5, SYN1731, ???
457.1175176266415, 0.15, 0.0, P, 5, SYN1069, ???
604.2992229641185, 0.15, 0.0, P, 5, SYN1725, ???
547.2071051854715, 0.15, 0.0, P, 5, SYN1443, ???
545.8450503120195, 0.15, 0.0, P, 5, SYN1458, ???
489.77983135201185, 0.15, 0.0, P, 5, SYN1202, ???
574.9897421462343, 0.15, 0.0, P, 5, SYN1579, ???
550.6090756227733, 0.15, 0.0, P, 5, SYN1468, ???
466.78077589749427, 0.15, 0.0, P, 5, SYN1125, ???
581.1339786026399, 0.15, 0.0, P, 5, SYN1596, ???
535.3305724520685, 0.15, 0.0, P, 5, SYN1408, ???
580.5132764457924, 0.15, 0.0, P, 5, SYN1614, ???
444.72039419509787, 0.15, 0.0, P, 5, SYN1034, ???
557.7998070034585, 0.15, 0.0, P, 5, SYN1485, ???
505.5248913167242, 0.15, 0.0, P, 5, SYN1270, ???
612.2697650194781, 0.15, 0.0, P, 5, SYN1764, ???
438.98556655288957, 0.15, 0.0, P, 5, SYN1004, ???
574.8059743414359, 0.15, 0.0, P, 5, SYN1589, ???
455.5010926352263, 0.15, 0.0, P, 5, SYN1077, ???
560.4172973087312, 0.15, 0.0, P, 5, SYN1512, ???
449.6126504093634, 0.15, 0.0, P, 5, SYN1052, ???
570.9506217913621, 0.15, 0.0, P, 5, SYN1553, ???
456.37848853322754, 0.15, 0.0, P, 5, SYN1082, ???
535.550998860886, 0.15, 0.0, P, 5, SYN1410, ???
580.8957044254787, 0.15, 0.0, P, 5, SYN1615, ???
583.0295168528745, 0.15, 0.0, P, 5, SYN1630, ???
583.3615399203538, 0.15, 0.0, P, 5, SYN1631, ???
599.2750751251939, 0.15, 0.0, P, 5, SYN1686, ???
603.8406463292077, 0.15, 0.0, P, 5, SYN1708, ???
455.8795450439657, 0.15, 0.0, P, 5, SYN1078, ???
479.0392160603721, 0.15, 0.0, P, 5, SYN1158, ???
584.5410631322235, 0.15, 0.0, P, 5, SYN1623, ???
595.4963655835452, 0.15, 0.0, P, 5, SYN1661, ???
450.3483131210551, 0.15, 0.0, P, 5, SYN1054, ???
524.9985886651809, 0.15, 0.0, P, 5, SYN1362, ???
532.2680897314909, 0.15, 0.0, P, 5, SYN1396, ???
536.1324200056896, 0.15, 0.0, P, 5, SYN1415, ???
